customer_id,tenure_months,monthly_active_days,avg_session_duration,support_ticket_count,payment_delay_count,feature_usage_score,subscription_plan,negative_sentiment_ratio,churn
CUST_1,39,27,6.130168545525603,2,2,10.092697502848457,Pro,0.518391591566125,1
CUST_2,52,4,52.05599755772619,0,0,92.66954163079961,Basic,0.24627292189897343,1
CUST_3,29,8,42.87861596973871,2,0,87.26241520222472,Pro,0.6408486227842777,1
CUST_4,15,3,84.73841692966803,2,0,30.84917169851523,Pro,0.15479113600679095,1
CUST_5,43,29,93.11822936744358,0,2,24.698781593186702,Basic,0.22987043454817602,1
CUST_6,8,9,39.970883136697644,1,0,90.53973140649157,Pro,0.5493256690120225,1
CUST_7,21,29,98.33710666115816,3,1,0.17719513209559778,Pro,0.3899835813102194,1
CUST_8,39,2,38.80042745806738,0,0,60.05775279913467,Basic,0.7452022852872185,1
CUST_9,58,2,56.32753139845454,1,1,91.60037609456705,Basic,0.5835724775416182,1
CUST_10,19,28,88.6071306066254,1,2,50.855748890635276,Pro,0.38133512760891275,1
CUST_11,23,13,84.68582636085068,2,1,0.29669595996338893,Enterprise,0.3267299348347149,1
CUST_12,11,15,118.547374315903,0,0,21.88714293851557,Basic,0.9132427819679871,1
CUST_13,11,28,30.893517784832166,0,1,92.2441593891934,Enterprise,0.04008266196064514,1
CUST_14,24,23,81.16656005705197,0,0,1.7022424179829243,Basic,0.6910310391841052,1
CUST_15,53,12,75.1134194517144,3,2,39.47797660632014,Enterprise,0.39189857889550017,1
CUST_16,36,26,110.23632226635344,3,3,78.97447263329782,Basic,0.3773576745634003,1
CUST_17,40,4,22.98164628916063,0,1,83.80909936850034,Pro,0.6518767732847808,1
CUST_18,24,26,91.4567888124973,2,2,47.760793262867004,Pro,0.8504647532438292,1
CUST_19,3,8,70.35089087090836,3,0,23.24837517328525,Enterprise,0.724412245320069,1
CUST_20,22,9,36.58657502560912,5,2,59.970471768615894,Enterprise,0.6701112682450215,1
CUST_21,53,23,59.56001512692502,3,1,26.37780315573015,Basic,0.49620245004139674,1
CUST_22,2,5,43.384308663026744,1,0,25.526425799591635,Basic,0.46917846391329987,1
CUST_23,24,24,71.621041320673,3,0,80.75997633970131,Enterprise,0.4607152754868763,1
CUST_24,44,20,107.23507024368658,2,1,15.426583529661308,Enterprise,0.14544746328463176,1
CUST_25,30,18,70.47007320740323,0,0,0.5521478401990798,Pro,0.5595029883719552,1
CUST_26,38,11,77.64807810755717,2,0,33.67752170058491,Enterprise,0.31546427807001054,1
CUST_27,2,15,64.65600241819158,4,1,49.097395499502994,Pro,0.6182278962253457,1
CUST_28,21,28,10.88403324122973,3,2,70.50803918953237,Enterprise,0.5343352476243938,1
CUST_29,33,22,31.778734040750837,2,1,78.11152576042886,Pro,0.9399241953614144,1
CUST_30,12,9,61.580198884689516,3,1,66.351921113363,Pro,0.4349301320567234,1
CUST_31,58,17,40.67705763064105,3,1,62.650888031692666,Pro,0.6643972080126179,1
CUST_32,22,27,25.902813742537337,1,0,66.5748722319435,Basic,0.592802558689901,0
CUST_33,44,26,62.97527682062041,1,1,27.152651758109904,Pro,0.6843947579040913,1
CUST_34,25,12,42.123126246502785,5,1,38.23613229645678,Enterprise,0.26697485877284854,1
CUST_35,49,7,34.68237896494269,2,1,61.643650099956446,Enterprise,0.2572489444186017,1
CUST_36,27,10,58.35832300564379,4,0,6.557066035397286,Enterprise,0.5596779562290756,1
CUST_37,59,25,20.32768967944991,4,2,29.532535006785565,Basic,0.8490615813633513,1
CUST_38,42,26,111.69075930367184,2,1,40.641894475765305,Pro,0.7200086836966931,1
CUST_39,28,25,104.78574126071248,2,0,53.3440682853936,Basic,0.48893469968210246,1
CUST_40,16,10,86.37636736016157,3,1,48.64821073609611,Pro,0.2550944331986341,1
CUST_41,15,27,17.214590172672466,4,0,71.81318781539937,Enterprise,0.7593472261010208,1
CUST_42,47,13,94.2258842640147,1,2,47.34266754164611,Pro,0.9262461976126728,1
CUST_43,51,19,97.91509273253719,2,1,90.41299838249888,Basic,0.21302032098487234,1
CUST_44,44,11,93.29293103714883,1,1,38.03183421524173,Basic,0.7990937212127304,1
CUST_45,55,13,18.106077018712732,6,1,52.53717061761564,Basic,0.17244552848224504,1
CUST_46,52,21,79.04941506279295,2,2,0.32103896020267975,Basic,0.9007829782767571,1
CUST_47,57,8,100.94735151118083,2,1,31.047795644618937,Enterprise,0.6420498938858061,1
CUST_48,3,8,71.39564114026179,1,0,86.65729773139923,Basic,0.18101000426171499,1
CUST_49,37,4,79.33684815123023,4,1,33.35763945962916,Basic,0.03625952879694627,1
CUST_50,51,15,57.71180013402521,2,1,25.318633333246197,Basic,0.6946162936184067,1
CUST_51,7,28,65.80134178666606,3,2,54.353696244222164,Enterprise,0.6061018240528465,1
CUST_52,21,11,8.9533387104484,1,1,7.873009844207246,Pro,0.6113178165067392,1
CUST_53,9,11,78.48074752692773,4,0,53.16051316503992,Enterprise,0.4822619189796783,1
CUST_54,39,1,14.366429482483307,4,1,30.36657982421883,Enterprise,0.6144431434087466,1
CUST_55,18,17,55.02667834912569,0,0,38.31028898743875,Enterprise,0.8732230924888402,1
CUST_56,4,15,38.6553362317519,8,1,79.13650043371449,Pro,0.9520015815873328,1
CUST_57,25,20,67.724214274347,3,0,66.19640186141183,Basic,0.3445079567646516,1
CUST_58,14,6,20.342878585168815,2,1,44.610609312384284,Enterprise,0.48787196814833733,1
CUST_59,50,24,84.53899122693159,3,1,57.75163130849394,Basic,0.2730278767283446,1
CUST_60,58,22,96.4263267467741,0,1,76.68587553202292,Basic,0.41158534928030976,1
CUST_61,9,28,23.785761720462997,2,1,74.57837451961883,Pro,0.7958885541380134,1
CUST_62,26,25,16.996005045466447,2,1,18.532171055117843,Pro,0.42498913841500074,1
CUST_63,53,15,21.734280520546303,1,3,30.091922199920475,Enterprise,0.39164041252783355,1
CUST_64,2,9,105.86966961832769,3,2,34.823693096602526,Pro,0.8501111039511701,1
CUST_65,20,14,65.74176510198096,2,0,18.754229000500445,Pro,0.0012723616947949434,1
CUST_66,28,18,58.7350145408628,2,1,1.2161454006304195,Pro,0.8521880762556571,1
CUST_67,47,26,17.27185919677074,2,0,17.396726878881218,Basic,0.18140796607857912,0
CUST_68,7,17,79.69894077705061,3,1,80.82443270814872,Pro,0.27451197504263425,1
CUST_69,44,18,104.81995306793534,3,1,54.59204513924711,Enterprise,0.36160906853429176,1
CUST_70,8,5,100.2413749721971,3,1,34.16580269871808,Pro,0.8806522308535101,1
CUST_71,47,20,76.99629153279214,1,1,60.83444456294648,Enterprise,0.9086815408438214,1
CUST_72,35,20,13.657052414942466,2,2,73.98341253467918,Enterprise,0.6611785572983386,1
CUST_73,14,9,17.92565812524149,3,1,35.44277830208627,Pro,0.43944286456261283,1
CUST_74,17,11,10.670533517629838,0,0,46.607484153497445,Basic,0.5161278103248965,1
CUST_75,36,24,34.61010989663397,3,0,6.42132166701156,Enterprise,0.5804016092280032,1
CUST_76,50,22,20.60106872344344,1,0,59.70905362124792,Enterprise,0.9539908045434351,1
CUST_77,40,1,34.9055246290299,1,3,35.640709555218464,Enterprise,0.9691672001558919,1
CUST_78,4,18,49.28167640768059,0,3,43.352364760078764,Pro,0.8473329279468584,1
CUST_79,2,6,113.4430201681806,2,0,42.26006179469247,Enterprise,0.5837287066688582,1
CUST_80,6,27,75.19324687489458,3,1,63.24092887425428,Pro,0.39073447424494145,1
CUST_81,54,2,101.02198535354067,2,1,57.246534895448086,Enterprise,0.230279916685876,1
CUST_82,42,15,86.6904225819182,4,2,42.210604777656805,Basic,0.5344558603387405,1
CUST_83,4,29,17.937860010562652,1,0,1.6955021490728694,Enterprise,0.3456308929806182,1
CUST_84,54,26,89.63084673300412,2,1,62.09626146313793,Pro,0.07274449764112145,1
CUST_85,29,21,36.636371379299305,1,0,87.9577474034327,Pro,0.4762207583847561,1
CUST_86,18,14,78.49740240439122,2,0,76.95515715938977,Enterprise,0.5710861833102606,1
CUST_87,26,5,44.21062696894368,4,0,98.16156322500822,Pro,0.6113151439732911,1
CUST_88,44,6,119.73231027543581,0,2,13.907533802071336,Basic,0.073813880977052,1
CUST_89,34,6,35.30842014212945,3,2,22.25200527878537,Pro,0.48311018215620016,1
CUST_90,10,22,37.10000413904101,1,1,53.92674652219791,Enterprise,0.655913050249275,0
CUST_91,36,18,112.0273093896758,2,1,23.588170234380645,Basic,0.9610640697581181,1
CUST_92,14,14,7.834106533177107,1,0,3.454978128168984,Pro,0.02504580848846072,1
CUST_93,31,10,85.11923360541765,2,0,40.22882761639461,Enterprise,0.6762823014464379,0
CUST_94,48,14,88.41253493462598,3,0,28.76447341539825,Pro,0.06233741000264459,0
CUST_95,15,13,101.18353640219593,3,1,26.37608456588828,Enterprise,0.15884348722397534,1
CUST_96,8,3,117.06052072342466,1,1,95.31728170242486,Pro,0.17330797166973888,1
